update,action_saturation,approx_kl,c_frac_env,clip_frac,entropy,explained_variance,grad_norm,l_env,policy_loss,returned_episode_returns,step_reward,total_loss,value_loss
597,0.0,0.004750561,0.1650508,0.05727448,-4.0153112,0.6339846,51.24225,0.0,0.0013005994,171.4416,0.86175483,1.3746877,2.7467742
598,0.0,0.0037282067,0.16595957,0.04206042,-4.016174,0.6496326,44.802483,0.0,0.0010268777,172.3426,0.8533898,1.3379722,2.6738906
599,0.0,0.0049008597,0.16597538,0.060590103,-4.0169706,0.6594372,56.45978,0.0,0.0014862015,170.67796,0.8534201,1.3357288,2.6684852
600,0.0,0.004400582,0.16501889,0.05206094,-4.017436,0.6610372,49.17773,0.0,0.0012954035,170.69484,0.86424285,1.3035225,2.604454
601,0.0,0.004935574,0.16637644,0.05872344,-4.0182667,0.6463991,55.142612,0.0,0.0013947746,172.8352,0.85084987,1.3452656,2.6877418
602,0.0,0.003912434,0.16692086,0.043686457,-4.019517,0.66321254,45.505783,0.0,0.00093976746,170.16597,0.8468572,1.2918675,2.5818553
603,0.0,0.004207383,0.1663977,0.048304684,-4.0203342,0.65418017,48.84877,0.0,0.0010227659,169.37967,0.85509026,1.2990692,2.596093
604,0.0,0.0042182505,0.1669419,0.050128646,-4.021246,0.65662956,48.258316,0.0,0.0011097162,171.01256,0.8496085,1.2970569,2.5918944
605,0.0,0.004290606,0.16737835,0.04994427,-4.022254,0.6613828,48.09568,0.0,0.0010809372,169.92163,0.84955823,1.3097047,2.6172476
606,0.0,0.003046061,0.16776328,0.03131094,-4.0230646,0.6668954,35.310394,0.0,0.0005655994,169.91237,0.8502746,1.3184148,2.6356983
607,0.0,0.00366794,0.16703634,0.040413022,-4.024137,0.65305877,43.197823,0.0,0.00091054733,170.0587,0.854069,1.335787,2.6697528
608,0.0,0.005196462,0.16686179,0.06352761,-4.024859,0.6625855,58.23876,0.0,0.0017157497,170.81233,0.85259026,1.2928085,2.5821857
609,0.0,0.0023749566,0.16663893,0.02168177,-4.025159,0.65309393,29.28661,0.0,0.00037966348,170.52104,0.85556227,1.3211168,2.6414742
610,0.0,0.004299917,0.16810851,0.05119115,-4.0259275,0.6663187,50.562027,0.0,0.001151733,171.1008,0.84392697,1.3033931,2.604483
611,0.0,0.003222043,0.16815548,0.034454167,-4.02621,0.6630807,38.27629,0.0,0.00070940686,168.78976,0.84829855,1.305439,2.6094592
